ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Col,Metadata_FileLocation,Metadata_FileName,Metadata_Frame,Metadata_Plate,Metadata_Row,Metadata_Series,Metadata_Well,Children_Cells_Count,Children_FilteredNuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
8,23,nan,026,nan,nan,0,u26a,000,0,A2,1,1,434.4873547505126,469.4866712235133,0,23
8,24,nan,026,nan,nan,0,u26a,000,0,A2,1,1,562.0928327645051,474.49829351535834,0,24
8,25,nan,026,nan,nan,0,u26a,000,0,A2,1,1,655.5055248618785,485.073664825046,0,25
8,26,nan,026,nan,nan,0,u26a,000,0,A2,1,1,268.02184179456907,509.0495867768595,0,26
8,27,nan,026,nan,nan,0,u26a,000,0,A2,1,1,128.03058994901676,517.6234522942461,0,27
8,28,nan,026,nan,nan,0,u26a,000,0,A2,1,1,818.8997686969931,539.064764841943,0,28
8,29,nan,026,nan,nan,0,u26a,000,0,A2,1,1,650.9452644526446,542.4028290282903,0,29
8,30,nan,026,nan,nan,0,u26a,000,0,A2,1,1,878.5713367609254,570.5526992287918,0,30
8,31,nan,026,nan,nan,0,u26a,000,0,A2,1,1,224.43564356435644,596.1704384724187,0,31
8,32,nan,026,nan,nan,0,u26a,000,0,A2,1,1,477.72969460688756,615.8466536712151,0,32
8,33,nan,026,nan,nan,0,u26a,000,0,A2,1,1,366.18993993993996,626.9924924924925,0,33
8,34,nan,026,nan,nan,0,u26a,000,0,A2,1,1,742.8011444921316,633.8390557939914,0,34
8,35,nan,026,nan,nan,0,u26a,000,0,A2,1,1,672.934328358209,646.550447761194,0,35
8,36,nan,026,nan,nan,0,u26a,000,0,A2,1,1,886.5593667546174,671.929419525066,0,36
8,37,nan,026,nan,nan,0,u26a,000,0,A2,1,1,849.7863463969659,734.4614412136536,0,37
8,38,nan,026,nan,nan,0,u26a,000,0,A2,1,1,356.2485981308411,740.9672897196261,0,38
8,39,nan,026,nan,nan,0,u26a,000,0,A2,1,1,705.7293640054128,750.0358592692828,0,39
8,40,nan,026,nan,nan,0,u26a,000,0,A2,1,1,240.21996185632548,776.1595677050223,0,40
8,41,nan,026,nan,nan,0,u26a,000,0,A2,0,0,38.27880386983289,802.3403693931399,0,41
8,42,nan,026,nan,nan,0,u26a,000,0,A2,1,1,458.87273945077027,804.2685867381111,0,42
8,43,nan,026,nan,nan,0,u26a,000,0,A2,1,1,781.9896640826873,816.9173126614987,0,43
8,44,nan,026,nan,nan,0,u26a,000,0,A2,1,1,555.5038484310243,823.283007696862,0,44
8,45,nan,026,nan,nan,0,u26a,000,0,A2,1,1,72.37260034904014,832.3455497382199,0,45
8,46,nan,026,nan,nan,0,u26a,000,0,A2,1,1,647.3588516746412,851.8434723171565,0,46
8,47,nan,026,nan,nan,0,u26a,000,0,A2,1,1,138.1754229741763,844.0347284060553,0,47
8,48,nan,026,nan,nan,0,u26a,000,0,A2,1,1,833.5663082437276,875.4430107526882,0,48
8,49,nan,026,nan,nan,0,u26a,000,0,A2,1,1,709.4423380726698,877.6445497630332,0,49
8,50,nan,026,nan,nan,0,u26a,000,0,A2,0,0,921.1756935270806,887.4656538969617,0,50
8,51,nan,026,nan,nan,0,u26a,000,0,A2,0,0,525.7702702702703,925.181240063593,0,51
8,52,nan,026,nan,nan,0,u26a,000,0,A2,0,0,729.1738505747127,940.826867816092,0,52
8,53,nan,026,nan,nan,0,u26a,000,0,A2,0,0,268.19837691614066,961.1145175834084,0,53
9,1,nan,027,nan,nan,0,u26a,000,0,A2,0,0,43.92813141683778,26.380903490759753,0,1
9,2,nan,027,nan,nan,0,u26a,000,0,A2,0,0,464.28416779431666,29.343707713125845,0,2
9,3,nan,027,nan,nan,0,u26a,000,0,A2,0,0,787.388560157791,41.957264957264954,0,3
9,4,nan,027,nan,nan,0,u26a,000,0,A2,0,0,560.8281437125748,48.38443113772455,0,4
